Date,Day,Temp,Genotype,Flask,Method,Count1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Average,Density,Densityx10000
5/24/2019,5,32,FLCass,1,0,35,52,28,32,,,,,,,36.75,40833.33333,4.083333333
5/24/2019,5,32,FLCass,2,0,56,53,45,71,,,,,,,56.25,62500,6.25
5/24/2019,5,32,FLCass,3,0,95,96,110,101,,,,,,,100.5,111666.6667,11.16666667
5/24/2019,5,32,FLCass,4,0,128,62,55,72,,,,,,,79.25,88055.55556,8.805555556
5/24/2019,5,32,CCMP2464,1,0,8,6,11,12,,,,,,,9.25,10277.77778,1.027777778
5/24/2019,5,32,CCMP2464,2,0,14,11,10,6,,,,,,,10.25,11388.88889,1.138888889
5/24/2019,5,32,CCMP2464,3,0,3,1,2,4,,,,,,,2.5,2777.777778,0.277777778
5/24/2019,5,32,CCMP2464,4,0,10,9,14,12,,,,,,,11.25,12500,1.25
5/24/2019,5,32,KB8,1,0,19,21,14,20,,,,,,,18.5,20555.55556,2.055555556
5/24/2019,5,32,KB8,2,0,21,28,36,46,,,,,,,32.75,36388.88889,3.638888889
5/24/2019,5,32,KB8,3,0,28,14,26,23,,,,,,,22.75,25277.77778,2.527777778
5/24/2019,5,32,KB8,4,0,12,7,15,30,,,,,,,16,17777.77778,1.777777778
5/27/2019,8,26,KB8,1,1,69,94,90,99,,,,,,,88,220000,22
5/27/2019,8,26,KB8,2,1,76,75,52,47,,,,,,,62.5,156250,15.625
5/27/2019,8,26,KB8,3,1,64,61,74,65,,,,,,,66,165000,16.5
5/27/2019,8,26,KB8,4,1,85,90,59,87,,,,,,,80.25,200625,20.0625
5/27/2019,8,26,FLCass,1,1,144,128,92,87,,,,,,,112.75,281875,28.1875
5/27/2019,8,26,FLCass,2,1,118,127,92,87,,,,,,,106,265000,26.5
5/27/2019,8,26,FLCass,3,1,124,113,116,117,,,,,,,117.5,293750,29.375
5/27/2019,8,26,FLCass,4,0,145,285,165,192,,,,,,,196.75,218611.1111,21.86111111
5/27/2019,8,26,CCMP2464,1,0,18,14,17,9,,,,,,,14.5,16111.11111,1.611111111
5/27/2019,8,26,CCMP2464,2,0,11,10,12,14,,,,,,,11.75,13055.55556,1.305555556
5/27/2019,8,26,CCMP2464,3,0,7,14,16,16,,,,,,,13.25,14722.22222,1.472222222
5/27/2019,8,26,CCMP2464,4,0,12,14,15,9,,,,,,,12.5,13888.88889,1.388888889
5/27/2019,8,26,RT362,1,2,28,29,35,51,,,,,,,35.75,357500,35.75
5/27/2019,8,26,RT362,2,2,54,40,41,50,,,,,,,46.25,462500,46.25
5/27/2019,8,26,RT362,3,2,32,38,38,42,,,,,,,37.5,375000,37.5
5/27/2019,8,26,RT362,4,2,44,37,39,24,,,,,,,36,360000,36
5/27/2019,8,26,CCMP2458,1,0,217,253,269,229,,,,,,,242,268888.8889,26.88888889
5/27/2019,8,26,CCMP2458,2,0,243,274,253,229,,,,,,,249.75,277500,27.75
5/27/2019,8,26,CCMP2458,3,0,226,185,157,224,,,,,,,198,220000,22
5/27/2019,8,26,CCMP2458,4,0,185,179,201,274,,,,,,,209.75,233055.5556,23.30555556
5/27/2019,8,30,RT362,1,2,48,37,65,64,,,,,,,53.5,535000,53.5
