WellNum,Genotype.x,Temp.x,Plate.x,Day.Dead.x,Survive.to.End.x,Days.to.Inoculation.x,Days.to.Strobilation.x,Days.to.Ephyra.x,Total.Buds.x,Total.Ephyra.Produced.x,Notes.x,Date,DarkSlope,LightSlope,Respiration,GrossPhoto,NetPhoto,Count1,Count2,PicDate,PictureNum,Area,Genotype.y,Temp.y,Plate.y,Day.Dead.y,Survive.to.End.y,Days.to.Inoculation.y,Days.to.Strobilation.y,Days.to.Ephyra.y,Total.Buds.y,Total.Ephyra.Produced.y,Notes.y,avgct,cells.per.mL,cells.per.polyp,cells.per.area,Resp.per.cell.density,Resp,GP.per.cell.density,GP,NP.per.cell.density,NP,Resp.per.cell,Resp.per.bill.cell,GP.per.cell,GP.per.bill.cell,NP.per.cell,NP.per.bill.cell,Seq
c57,Aposymbiotic,32,2,NA,Yes,NA,NA,NA,1,0,Removed from suspected contamination day 17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
c58,Aposymbiotic,32,2,NA,Yes,NA,NA,NA,5,0,,21-Jan,0.2899,0.5461,-0.091966667,-0.031791667,0.060175,19,19,21-Jan,6,0.396,Aposymbiotic,32,2,NA,Yes,NA,NA,NA,5,0,,19,190000,28500000,71969696.97,-1.28E-09,-1.277852636,-4.42E-10,-0.441736847,8.36E-10,0.836115789,-3.23E-09,-3.226900596,-1.12E-09,-1.115497088,2.11E-09,2.111403509,N
c59,Aposymbiotic,32,2,NA,Yes,NA,NA,NA,6,0,Removed from suspected contamination day 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
c60,Aposymbiotic,32,2,NA,Yes,NA,NA,NA,3,0,Removed from suspected contamination day 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
c61,Aposymbiotic,32,3,NA,Yes,NA,NA,NA,5,0,,22-Jan-20,0.2218,0.3931,-0.040833333,-0.019625,0.021208333,36,30,22-Jan,1,0.788,Aposymbiotic,32,3,NA,Yes,NA,NA,NA,5,0,,33,330000,49500000,62817258.88,-6.50E-10,-0.650033665,-3.12E-10,-0.312414141,3.38E-10,0.337619523,-8.25E-10,-0.824915818,-3.96E-10,-0.396464646,4.28E-10,0.428451172,Y
c62,Aposymbiotic,32,3,11,No,NA,NA,NA,3,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
c63,Aposymbiotic,32,3,NA,Yes,NA,NA,NA,1,0,Removed from suspected contamination day 12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
c64,Aposymbiotic,32,3,NA,Yes,NA,NA,NA,2,0,Removed from suspected contamination day 16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
c65,Aposymbiotic,32,3,NA,Yes,NA,NA,NA,3,0,,22-Jan-20,0.2775,0.4153,0.014866667,0.002575,-0.012291667,25,13,22-Jan,2,0.659,Aposymbiotic,32,3,NA,Yes,NA,NA,NA,3,0,,19,190000,28500000,43247344.46,3.44E-10,0.343759072,5.95E-11,0.059541228,-2.84E-10,-0.284217844,5.22E-10,0.521637439,9.04E-11,0.090350877,-4.31E-10,-0.431286561,N
c66,Aposymbiotic,32,3,NA,Yes,NA,NA,NA,3,0,,22-Jan-20,0.3427,0.4375,0.080066667,0.024775,-0.055291667,17,20,22-Jan,3,0.749,Aposymbiotic,32,3,NA,Yes,NA,NA,NA,3,0,,18.5,185000,27750000,37049399.2,2.16E-09,2.161078688,6.69E-10,0.668701802,-1.49E-09,-1.492376886,2.89E-09,2.885285297,8.93E-10,0.892792793,-1.99E-09,-1.992492505,N
c67,Aposymbiotic,32,4,NA,Yes,NA,NA,NA,3,0,,22-Jan-20,0.5389,0.4366,0.276266667,0.023875,-0.252391667,14,20,22-Jan,4,0.522,Aposymbiotic,32,4,NA,Yes,NA,NA,NA,3,0,,17,170000,25500000,48850574.71,5.66E-09,5.655341183,4.89E-10,0.488735294,-5.17E-09,-5.166605889,1.08E-08,10.83398694,9.36E-10,0.93627451,-9.90E-09,-9.897712431,N
c68,Aposymbiotic,32,4,NA,Yes,NA,NA,NA,4,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
c69,Aposymbiotic,32,4,NA,Yes,NA,NA,NA,4,0,,22-Jan-20,0.2595,0.2856,-0.003133333,-0.127125,-0.123991667,10,9,22-Jan,5,0.617,Aposymbiotic,32,4,NA,Yes,NA,NA,NA,4,0,,9.5,95000,14250000,23095623.99,-1.36E-10,-0.135667822,-5.50E-09,-5.504289474,-5.37E-09,-5.368621652,-2.20E-10,-0.219883018,-8.92E-09,-8.921052632,-8.70E-09,-8.701169614,N
c70,Aposymbiotic,32,4,NA,Yes,NA,NA,NA,2,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
c71,Aposymbiotic,32,4,NA,Yes,NA,NA,NA,3,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
c72,Aposymbiotic,32,4,NA,Yes,NA,NA,NA,3,0,,22-Jan-20,0.2388,0.368,-0.023833333,-0.044725,-0.020891667,14,8,22-Jan,6,0.477,Aposymbiotic,32,4,NA,Yes,NA,NA,NA,3,0,,11,110000,16500000,34591194.97,-6.89E-10,-0.68899999,-1.29E-09,-1.292959091,-6.04E-10,-0.603959101,-1.44E-09,-1.444444424,-2.71E-09,-2.710606061,-1.27E-09,-1.266161636,N
