"WellNum","Date","Genotype","Temp","Plate","Resp.per.bill.cell","GP.per.bill.cell","NP.per.bill.cell"
"248","21-Jan","CCMP2458","32","2",-1.8844448,-84.4711114666667,-82.5866666666667
"c58","21-Jan","Aposymbiotic","32","2",-64.5380119298246,-22.309941754386,42.2280701754386
"250","21-Jan","CCMP2458","32","2",-138.074074285714,3.43386222222222,141.507936507937
"265","21-Jan","CCMP2464","32","1",-1120.94716939891,191.07468852459,1312.0218579235
"291","21-Jan","FLCass","32","1",-28.8244765217391,-12.0805151690821,16.743961352657
"267","21-Jan","CCMP2464","32","1",-22.909560620155,29.1602068217054,52.0697674418605
"270","21-Jan","CCMP2464","32","1",27.7152779166667,-9.14930541666667,-36.8645833333333
"294","21-Jan","FLCass","32","1",-36.3727595698925,17.0681006451613,53.4408602150538
"273","21-Jan","CCMP2464","32","2",16.03576,-16.1098338697318,-32.1455938697318
"297","21-Jan","FLCass","32","2",100.493828148148,172.567902222222,72.0740740740741
"274","21-Jan","CCMP2464","32","2",27.111111292517,-5.69160979591837,-32.8027210884354
"298","21-Jan","FLCass","32","2",84.412699047619,-46.7777771428571,-131.190476190476
"276","21-Jan","CCMP2464","32","2",-16.8086418518518,-24.2808640740741,-7.47222222222222
"299","21-Jan","FLCass","32","2",112.444445714286,33.6825409523809,-78.7619047619048
"314","21-Jan","KB8","32","1",54.412699047619,201.619047619048,147.206348571429
"337","21-Jan","RT362","32","1",-64.7242795061728,-8.83950617283951,55.8847733333333
"316","21-Jan","KB8","32","1",34.2939070967742,7.61290322580645,-26.6810038709677
"338","21-Jan","RT362","32","1",-18.3802468148148,-43.6592592592593,-25.2790124444444
"318","21-Jan","KB8","32","1",-200.350168080808,144.525252525253,344.875420606061
"341","21-Jan","RT362","32","1",22.6984128571429,13.4047619047619,-9.29365095238095
"319","21-Jan","KB8","32","2",-4.93486574712644,142.367816091954,147.30268183908
"343","21-Jan","RT362","32","2",20.2610230687831,-6.79365079365079,-27.0546738624339
"322","21-Jan","KB8","32","2",20.2962965079365,-8.92063492063492,-29.2169314285714
"346","21-Jan","RT362","32","2",-143.604938074074,-197.422222222222,-53.8172841481481
"323","21-Jan","KB8","32","2",-35.5016832323232,-48.040404040404,-12.5387208080808
"348","21-Jan","RT362","32","2",-366.643274385965,-13.8245614035088,352.818712982456
"c61","22-Jan-20","Aposymbiotic","32","3",-16.4983163636364,-7.92929292929293,8.56902343434343
"256","22-Jan-20","CCMP2458","32","3",100.126984761905,14.2380952380952,-85.8888895238095
"c65","22-Jan-20","Aposymbiotic","32","3",10.4327487719298,1.80701754385965,-8.62573122807017
"255","22-Jan-20","CCMP2458","32","3",-0.414814222222222,71.7777777777778,72.192592
"c66","22-Jan-20","Aposymbiotic","32","3",57.7057059459459,17.8558558558559,-39.8498500900901
"257","22-Jan-20","CCMP2458","32","3",85.62963,41.6388888888889,-43.9907411111111
"c67","22-Jan-20","Aposymbiotic","32","4",216.679738823529,18.7254901960784,-197.954248627451
"260","22-Jan-20","CCMP2458","32","4",-24.2242222222222,309.75975975976,333.983981981982
"c69","22-Jan-20","Aposymbiotic","32","4",-4.39766035087719,-178.421052631579,-174.023392280702
"263","22-Jan-20","CCMP2458","32","4",40.3976610526316,20.6140350877193,-19.7836259649123
"c72","22-Jan-20","Aposymbiotic","32","4",-28.8888884848485,-54.2121212121212,-25.3232327272727
"264","22-Jan-20","CCMP2458","32","4",-237.137022872141,-28.1214848143982,209.015538057743
"279","22-Jan-20","CCMP2464","32","3",-14.4160207751938,8.95607224806201,23.3720930232558
"308","22-Jan-20","FLCass","32","4",-27.727778,78.322222,106.05
"281","22-Jan-20","CCMP2464","32","3",-23.0248367058824,-6.31111121568628,16.7137254901961
"310","22-Jan-20","FLCass","32","4",17.0617282539683,28.2257494179894,11.1640211640212
"282","22-Jan-20","CCMP2464","32","3",-7.94931789473684,-39.6803120467836,-31.7309941520468
"312","22-Jan-20","FLCass","32","4",-8.88664430976431,7.96857454545455,16.8552188552189
"286","22-Jan-20","CCMP2464","32","4",231.034858669667,119.564366943233,-111.470491726433
"302","22-Jan-20","FLCass","32","3",-18.6385084018265,-4.40334858447489,14.2351598173516
"287","22-Jan-20","CCMP2464","32","4",-16.0762528104575,24.0479301960784,40.124183006536
"304","22-Jan-20","FLCass","32","3",21.7940377235772,-20.238482601626,-42.0325203252033
"288","22-Jan-20","CCMP2464","32","4",472.074071111111,-230.370373333333,-702.444444444444
"306","22-Jan-20","FLCass","32","3",9.76876864864865,10.9489488288288,1.18018018018018
"325","22-Jan-20","KB8","32","3",-14.7238095238095,18.5396822857143,33.2634918095238
"351","22-Jan-20","RT362","32","3",-3.49484536082474,-1.15005731958763,2.34478804123711
"327","22-Jan-20","KB8","32","3",0.310344827586207,28.3371645977012,28.0268197701149
"353","22-Jan-20","RT362","32","3",5.93893129770992,16.2714163867684,10.3324850890585
"330","22-Jan-20","KB8","32","3",56.2444444444444,52.9185182222222,-3.32592622222222
"354","22-Jan-20","RT362","32","3",31.7066666666667,17.1851850666667,-14.5214816
"333","22-Jan-20","KB8","32","4",74.03125,22.13888875,-51.89236125
"355","22-Jan-20","RT362","32","4",17.7295597484277,1.99580704402516,-15.7337527044025
"334","22-Jan-20","KB8","32","4",245.369814792592,139.952263690548,-105.417551102044
"357","22-Jan-20","RT362","32","4",35.8761904761905,3.86031733333333,-32.0158731428571
"335","22-Jan-20","KB8","32","4",-49.4561403508772,10.3235866666667,59.7797270175439
"359","22-Jan-20","RT362","32","4",1.53333333333333,-23.7155557333333,-25.2488890666667
