PicDate,PictureNum,WellNum,Area
21-Jan,64,206,0.387
21-Jan,65,208,0.318
21-Jan,66,207,0.182
21-Jan,67,212,0.424
21-Jan,68,214,1.132
21-Jan,69,216,0.161
21-Jan,70,229,0.436
21-Jan,71,230,0.791
21-Jan,72,232,0.261
21-Jan,73,235,0.678
21-Jan,75,236,0.618
21-Jan,76,237,0.297
21-Jan,77,c14,0.602
21-Jan,78,c17,0.691
21-Jan,79,c18,1.118
21-Jan,80,c20,0.895
21-Jan,81,c21,0.897
21-Jan,82,c23,1.021
21-Jan,83,15,0.584
21-Jan,84,16,0.601
21-Jan,85,18,0.255
21-Jan,86,20,0.476
21-Jan,87,22,0.783
21-Jan,88,24,0.197
21-Jan,89,37,0.721
21-Jan,90,38,0.731
21-Jan,91,41,0.229
21-Jan,92,45,0.051
21-Jan,93,47,0.884
21-Jan,94,48,0.306
21-Jan,95,61,0.309
21-Jan,96,64,0.598
21-Jan,97,65,0.476
21-Jan,98,68,0.362
21-Jan,99,70,0.407
21-Jan,100,72,0.556
21-Jan,101,85,0.364
21-Jan,102,88,0.468
21-Jan,103,90,0.398
21-Jan,104,92,0.463
21-Jan,105,93,0.225
21-Jan,106,95,0.251
21-Jan,107,109,0.643
21-Jan,108,110,0.629
21-Jan,109,114,0.304
21-Jan,110,118,0.697
21-Jan,111,119,0.358
21-Jan,112,120,0.675
22-Jan,1,c61,0.788
22-Jan,2,c65,0.659
22-Jan,3,c66,0.749
22-Jan,4,c67,0.522
22-Jan,5,c69,0.617
22-Jan,6,c72,0.477
22-Jan,7,255,0.207
22-Jan,8,256,0.233
22-Jan,9,257,0.261
22-Jan,10,260,0.394
22-Jan,11,263,0.424
22-Jan,12,264,0.289
22-Jan,13,279,0.681
22-Jan,14,281,0.665
22-Jan,15,282,0.437
22-Jan,16,286,0.174
22-Jan,17,287,0.541
22-Jan,18,288,0.149
22-Jan,19,302,0.6
22-Jan,20,304,0.235
22-Jan,21,306,0.294
22-Jan,22,308,0.142
22-Jan,24,310,0.347
22-Jan,25,312,0.306
22-Jan,26,325,0.208
22-Jan,27,327,0.491
22-Jan,28,330,0.456
22-Jan,29,333,0.447
22-Jan,30,334,0.057
22-Jan,31,335,0.785
22-Jan,32,351,0.632
22-Jan,33,353,0.554
22-Jan,34,354,0.369
22-Jan,35,355,0.53
22-Jan,36,357,0.473
22-Jan,37,359,0.516
